,Vaccination-Sentiment,user,text,user_description,location,country_code,long,latt,source,user_mentions,retweet_count
0,0,Dizzo Uchiha,The doctor who claimed there was a link between vaccines and autism made up data. #factoftheday,"""Another day, another opportunity.""Stay blessed?? #Dodgers #Clips #Raiders #Kings #UCLA Pomona, Ca is the set. CSUF ??",,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],1
1,0,armchaired prole,"you, an idiot: medical professionals have known for 220 years that vaccines demonstrably decrease risk of disease
m https://t.co/bGYB2D3cpG","""Bourgeois degenerate homosexual"", ""trap"", ""terrible marxist""","Derry, Northern Ireland",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
2,0,Mindi Messmer,Vaccines don't cause cancer...CDC defined cancer cluster.  It's all fake news. @daninnis  @mfclark @hennessey4nh https://t.co/G9A8VEZegy,"""Science is my passion, politics is my duty"" ~Thomas Jefferson.",NH House of Representatives,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'daninnis', 'name': 'Senator Dan Innis', 'id': 254803782, 'id_str': '254803782', 'indices': [79, 88]}, {'screen_name': 'mfclark', 'name': 'Martha Fuller Clark', 'id': 147055861, 'id_str': '147055861', 'indices': [90, 98]}, {'screen_name': 'hennessey4nh', 'name': 'Martha Hennessey', 'id': 17327933, 'id_str': '17327933', 'indices': [99, 112]}]",1
3,0,Damien,"Understanding herd immunity via a simple simulation. #vaccination
No matter how many vaccines you got, that's the... https://t.co/8NcnvV4XUW",#coaching #intelligences #gouvernance #Teal #sciences #revenudebase,"Bordeaux, France",,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",[],0
4,0,Jayashree B,"Unlike Vaccines, This Is What Actually Might Cause Autism https://t.co/iS0k9sLpa8 via @POPSUGARMoms @doctorsoumya","#Media & development, #parenting & changing the world; Former @indiatoday & @unicefindia; @CheveningFCO & @OneWorldUK Fellow","Chennai, India",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'POPSUGARMoms', 'name': 'POPSUGAR Moms', 'id': 17625560, 'id_str': '17625560', 'indices': [86, 99]}, {'screen_name': 'doctorsoumya', 'name': 'Soumya Swaminathan', 'id': 2855536962, 'id_str': '2855536962', 'indices': [100, 113]}]",1
5,0,Nunca Trump,"Trump called Global Warming a Chinese conspiracy and blamed autism on vaccines, but this is the tweet he decides to https://t.co/3cE7xgSPhV","#NeverTrump A Conservative (back when that was a thing) who still believes in Freetrade, American Exceptionalism  and the Emoluments Clause

#TheResistance",United States,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],7
6,0,Naveen Thacker,#pediatrician @iapindia played crucial role.For #health matters #medical professionals advice matter most #endpolio https://t.co/JrrGgXOeau,"#pediatrician #rotarian #globalhealth #vaccineswork #endpolio, Coordinator @IPAWORLDorg  , president @Asiapacific_Ped ex#CSOs rep on @gavi board, #childsurvival",Gandhidham Kutch Gujarat India,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'screen_name': 'iapindia', 'name': 'IAP INDIA', 'id': 90327623, 'id_str': '90327623', 'indices': [14, 23]}]",1
7,0,Lauren B.,Vaccines save lives. We need to put an end to the myths Wakefield and his followers continue to spread. https://t.co/rKNg8dHoPM,#ShePersisted | Tweets are my own | RTs ? endorsements,New York,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
8,0,?SpookyBin?,Yes. We can do better by giving Everyone HPV vaccines and condoms. https://t.co/KBBoIqQzZ4,"(Un)Official Biophysicist of the Pittsburgh Penguins.
Science, Higher Ed, Geekery, Classic Rock, & Hockey. Yinzer science outreach. Ask me stuff.",The Burgh,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],2
9,0,Dr. Theresa Tam,#DYK: HPV infection affects as many as 75% of sexually active men &amp; women. #HPVPW17 @FMWCanada https://t.co/DD3f9EZG1i,?? The Chief Public Health Officer promotes and protects the health of Canadians. Terms of use: https://t.co/XV8ZG70wjS  Français: @ACSP_Canada,Canada,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","[{'screen_name': 'FMWCanada', 'name': 'FMWCanada', 'id': 1197019909, 'id_str': '1197019909', 'indices': [88, 98]}]",3
10,0,Alessandro Capolongo,#Vaccines: Tdap administered during the third trimester prevents 78 percent of pertussis in young infants - https://t.co/n70UiBfyU0,"???? Primary Care Pediatrician, interested in vaccine preventable diseases. Immunization advocate. Apple(?) & Technology enthusiast/addicted. Tweets ENG/ ITA",Marche ( ITALY - E.U.) ,,,,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[],1
11,0,Lydia Mumcuogullari,What is in childhood vaccines? Vaccines are made with ingredients that make them safe and effective to protect you and child from disease.,?????????? ?? ??? !,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
12,0,Luke Roberts,"Them: Vaccines cause autism.
Me: Please cite your sources",21. Man. Military. Married to @HayRoberts1218,"Belleville, IL",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
13,0,John Peters,Vaccines work. The MMR vaccine works. https://t.co/OE4Rb11z7R,"24/11/61 alone ill with ME (not CFS)
Unbeliever (political & relig)
Like: get better, breed, Wales rugby, C4news, porridge
Not as clever as I think I am",Swansea,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
14,0,Not Bruce Wayne,You are endangering lives with bullshit about vaccines. You are pretty scummy. https://t.co/EuOSGY3E9F,"A developer of all that is good in the world. Officially a 'coward' according to Senator @GCraughwell , thank you for smoking...",Mars,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
15,0,MHS Health Wisconsin,Vaccines aren't just for kids. Learn more this National Adult Immunization Awareness Week https://t.co/cP6T6gBNHG,"A health maintenance org that provides coverage for Wisconsin beneficiaries of BadgerCare Plus,SSI and Medicare Advantage.Follows & retweets are not endorsments",,,,,"<a href=""http://www.spredfast.com"" rel=""nofollow"">Spredfast app</a>",[],0
16,0,Liberals Aren't Evil,@1cajunqt @deplorableCort @RealAlexJones I'm really truly sorry to hear that. But it wasn't the vaccines. You not u https://t.co/gouyWCDY9f,a humble effort to create civil political dialogue. It mostly doesn't work,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'screen_name': '1cajunqt', 'name': 'cajunqt', 'id': 4731657681, 'id_str': '4731657681', 'indices': [0, 9]}, {'screen_name': 'deplorableCort', 'name': 'Courtney', 'id': 3301701271, 'id_str': '3301701271', 'indices': [10, 25]}, {'screen_name': 'RealAlexJones', 'name': 'Alex Jones', 'id': 109065990, 'id_str': '109065990', 'indices': [26, 40]}]",0
17,0,Alia,"This is for those who make me intellectually angry with their anti-vaccines movement:

https://t.co/04K5NZoNAw",A neuroscientist-in-the-making. I also write.,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
